Topic 0,Topic 1,label
0.01645379,0.98354626,neutral
0.97375876,0.026241286,neutral
0.19079366,0.80920637,negative
0.13114925,0.86885077,positive
0.23381141,0.76618856,neutral
0.012832636,0.9871674,positive
0.038392775,0.9616072,neutral
0.93934655,0.060653456,neutral
0.875136,0.124863975,neutral
0.079445735,0.92055434,positive
0.79398996,0.20601004,neutral
0.6590531,0.34094688,neutral
0.020290058,0.97971,neutral
0.97375757,0.026242439,neutral
0.12231246,0.8776876,negative
0.32634744,0.6736525,neutral
0.8170711,0.18292893,neutral
0.5216742,0.47832584,neutral
0.014662453,0.98533756,neutral
0.4710806,0.52891934,neutral
0.2508938,0.74910617,neutral
0.7551151,0.24488492,positive
0.011657529,0.9883425,neutral
0.95198923,0.048010744,neutral
0.5,0.5,positive
0.020280458,0.9797196,neutral
0.0970437,0.9029563,positive
0.014636575,0.9853634,positive
0.39307275,0.6069272,neutral
0.033180185,0.9668198,neutral
0.37010992,0.62989,neutral
0.79469585,0.20530422,neutral
0.06363066,0.9363693,neutral
0.4195652,0.5804348,positive
0.80046755,0.19953243,positive
0.014283634,0.9857164,positive
0.048848026,0.9511519,neutral
0.9503357,0.049664333,neutral
0.022455534,0.9775445,neutral
0.93283755,0.06716246,neutral
0.023765603,0.9762344,negative
0.039018705,0.9609813,neutral
0.9746717,0.025328275,positive
0.42373043,0.57626957,neutral
0.939324,0.060675927,neutral
0.015451988,0.984548,positive
0.016090224,0.9839098,positive
0.012016236,0.9879837,positive
0.9724002,0.02759982,neutral
0.81762457,0.18237542,negative
0.14024189,0.8597581,neutral
0.96412915,0.035870913,positive
0.03966262,0.96033734,neutral
0.07060425,0.9293958,neutral
0.013795075,0.9862049,positive
0.14422107,0.85577893,positive
0.025978748,0.97402126,positive
0.020229578,0.9797704,positive
0.2879447,0.71205527,positive
0.22243455,0.7775654,positive
0.8322885,0.16771153,positive
0.015662314,0.9843377,negative
0.42493942,0.57506055,neutral
0.93047494,0.069525026,positive
0.33907244,0.6609276,positive
0.6000743,0.39992574,positive
0.018964626,0.98103535,positive
0.9393264,0.06067362,neutral
0.014396954,0.98560303,negative
0.38401836,0.61598164,neutral
0.08045003,0.91955,positive
0.05738519,0.9426148,neutral
0.014423693,0.9855763,neutral
0.01192797,0.98807204,negative
0.09782198,0.902178,positive
0.02382881,0.9761712,neutral
